SN Ref,Ecosystem,NCP,NCP_short,SDG,Effect,Quote,Remarks from text,
SN 74,Freshwater,Physical and psychological experiences,EXP,8.9,Positive,Same as above,,
SN 77,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,"Drinking water quantity and quality are valued most, and changes in these ESs impact most on watershed livelihoods",,
SN 77,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,2.4,Positive,"The importance of water for agriculture is also highlighted in the survey results through its impacts on irrigated and rain-fed plots. A productivity calculation using the survey results for number and area of irrigated and rain-fed plots shows that rain-fed land delivers fewer harvests than irrigated land (1.97 vs 2.5 crop harvests per HH), with a total watershed production ratio of 44% for rain-fed and 56% for irrigated land.","This shows that nearby river is used for irrigation, which produces better harvests in argriculture",
SN 77,Farmland,Food and feed,FOD,1.1,Positive,"agriculture is the single most important income in the watershed (85% HH sell crops as a source of income, and livestock is ranked second most frequent in 56% HH)",Most of the agriculture products are sold for cash,
SN 77,Forest,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,"forest ESs play an important role both for subsistence and trade, supporting livestock and agricultural activities, water regulation, and in landslide control","Here, water regulation could mean groundwater recharge. Supporting livestock and agricultural activites are not mentioned in goal level because they are vauge in this sentence",
SN 77,Forest,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,"forest ESs play an important role both for subsistence and trade, supporting livestock and agricultural activities, water regulation, and in landslide control",,
SN 77,Forest,Energy,NRG,7.1,Positive,"Of the forest products, fuel-wood and fodder for livestock are most important. ",,
SN 77,Forest,Food and feed,FOD,2.4,Positive,"Of the forest products, fuel-wood and fodder for livestock are most important. ",,
SN 77,Forest,"Materials, companionship and labor",MAT,9.1,Positive,"Leaf litter typically is used for animal bedding, composting and fertilizer",,
SN 77,Forest,"Formation, protection and decontamination of soils and sediments",SOI,2.4,Positive,"Leaf litter typically is used for animal bedding, composting and fertilizer",,
SN 77,Agroforest,"Medicinal, biochemical and genetic resources",MED,15.6,Positive,"FGDs reporting on agroforestry, the use of different hybrid seeds and increased variety of crops, linking agriculture with biodiversity and further supporting local biodiversity. ","Genetic resources and crop biodiversity help in protection of biodiversity, and therefore maintaining them",
SN 77,Forest,"Regulation of freshwater quantity, location and timing",WQN,6.1,Negative,"FGDs too point at the pine forest upstream, planted in a major reforestation programme in the 60?s-70?s (Nepal-Australia Forestry Programme), as a reason for the decrease of water availability. ",,
SN 78,Others,"Materials, companionship and labor",MAT,1.1,Positive,"Communities across the study area have made efforts to diversify their livelihoods by collecting and selling nontimber forest products. For example, the collection of yarsagumba (Cordyceps sinensis), an extremely valuable material in eastern medicine, has become a major source of income for communities situated at higher elevations in Bajhang.",livelihood diversification,
SN 79,Farmland,Food and feed,FOD,1.1,Positive,"Only about a sixth of the farmers generate sufficient income to sustain their livelihood from farm production, while one tenth are able to sustain themselves for less than three months from their farm income.",,
SN 79,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,2.4,Positive,"Average irrigation water availability, seven months per year, is not sufficient to fulfill farming requirements. Households indicate that available irrigationwatermeets 49 and 59% of household requirements in the dry and other seasons respectively",,
SN 79,Forest,"Formation, protection and decontamination of soils and sediments",SOI,2.4,Positive,"Leaf litter is closely associated with agriculture and native broad leaved vegetation, and respondents are willing to pay approximately NPR 1290 yearly for an additional 30 sacks of leaf litter per month or NPR 43 per sack. This reflects the value of leaf litter as a substitute
for chemical fertilizers.",,
SN 80,Agroforest,Habitat creation and maintenance,HAB,15.5,Positive,"The overall tree diversity, i.e. number of species, was higher in the farmland than in the forest, making the farmland richer than forest in terms of gamma diversity (c farmland[c forest)",,
SN 83,Forest,Energy,NRG,7.1,Positive,"As more than 90% of the population depends on forests forfuelwood and other products this will have a significant impact onlivelihoods. The local communities are highly dependent on forestresources and already face challenges in sourcing fuelwood, fodder,and timber",,
SN 84,Freshwater,Food and feed,FOD,2.1,Positive,"Wetland makes it possible to increase the productivity of crops through the provision of water for irrigation. The paddy and wheat crops considered in the valuation of floodplain agriculture are grown in the summer and winter seasons, respectively",,
SN 84,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,2.4,Positive,"With nearly 85% of all households dependent on flood plain agriculture, the total annual net benefit generated from these crops was estimated at USD 4.15 million, accounting for 30% of the total value of provisioning services ",,
SN 84,Freshwater,Food and feed,FOD,2.4,Positive,"The majority of the households that owned livestock (average 5 individual animal head) depended heavily on the KTWR for grazing and to meet their annual fodder requirement. The total net benefit value from wetland fodder was estimated to be USD 4251,919 (USD 3.9 million/year for cows and buffalo and USD 318,915 for goats and sheep). This represents about 31% of the total value of the provisioning services and 27% of the aggregated economic value assessed.",,
SN 84,Freshwater,Food and feed,FOD,2.1,Positive,"Fishing from the Koshi river is an important source of food, protein, and income. The net annual income from captured fishery products was estimated at about USD 422 per household, which translates to a total net annual value of USD 2676,938 generated from the wetland by all fishing households in the area--20% of the total value of provisioning services",,
SN 84,Freshwater,Food and feed,FOD,1.1,Positive,,,
SN 84,Forest,Energy,NRG,7.1,Positive,Fuelwood is the primary source of household energy for cooking and heating in the area. On average 2535 kg of fuelwood was collected per household per year from the KTWR (2289 kg from the forest and 246 kg driftwood) accounting for 8% of the total value of provisioning services.,,
SN 84,Freshwater,Energy,NRG,7.1,Positive,Accounting for driftwood available in the shores,,
SN 84,Freshwater,"Materials, companionship and labor",MAT,9.1,Positive,"Timber, poles, thatch grass, pater are other wetland products utilised by local people",,
SN 84,Freshwater,"Materials, companionship and labor",MAT,9.1,Positive,"Timber, poles, thatch grass, pater are other wetland products utilised by local people",,
SN 84,Freshwater,"Materials, companionship and labor",MAT,9.1,Positive,"Timber, poles, thatch grass, pater are other wetland products utilised by local people",,
SN 84,Freshwater,Food and feed,FOD,2.1,Positive," neuro (Dryopteris chochleata, a wild green vegetable) are other wetland products utilised by local people",,
SN 84,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,6.4,Positive,"KTWR plays an important role in freshwater supply through groundwater retention for local households residing in the buffer zone who rely on groundwater as the main source of water for drinking and household use, as well as to enable extensive rice plantations. ","97% households in the buffer zone rely on groundwater from tubewells for drinking water, and this translates to 6% of total value of provisioning services",
SN 84,Freshwater,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,Flood control is one of the most important regulating services provided by the riverine floodplains of the KTWR because of the ability of the wetlands to absorb excess water during floods,"6% of total valuation was from flood protection (USD 952,075 per year",
SN 84,Freshwater,Regulation of climate,CLI,13.2,Positive,"The total value of carbon sequestered by forest and pasture land in KTWR was estimated to be USD 199,928 per year, or USD 23.3/ha/year.",,
SN 84,Freshwater,Physical and psychological experiences,EXP,1.1,Positive,"The total annual net benefit from tourism services was estimated at USD 1201,216 (or USD 211 per tourist per year), about 8% of the aggregated value of the ES assessed in this study.","Average tourist expenditure on food, accommodation, and travel was obtained from private tour operators. The tour package is generally for two nights and three days and costs about USD 300 per visitor. ",
SN 86,Forest,Energy,NRG,7.1,Positive,"Possible explanations for increasing demand for fuel wood include an (i) unexpected increase in the price of kerosene and liquefied petroleum gas and (ii) curbed illegal use of electrical services (e.g., unauthorized connections between households and main electrical lines) because of stricter enforcement",,
SN 87,Forest,Energy,NRG,7.1,Positive,"With the watershed's economy being based on subsistence farming and with forests being the main source of firewood, fodder, and timber for the majority of the people, deforestation adjacent to human settlements has become a ubiquitous process, occurring everywhere as time passes. Almost all economic levels of people use the local forests as an essential source of cooking fuel, timber for constructional purposes, and fodder",,
SN 87,Forest,Food and feed,FOD,2.4,Positive,,,
SN 87,Forest,"Materials, companionship and labor",MAT,9.1,Positive,,,
SN 88,Grassland,Food and feed,FOD,2.1,Positive,"Milk, dairy products (butter and cheese), wool, hides and meats are staple pastoral products for home-consumption as well as for generating family incomes in mountainous areas of northern Nepal",,
SN 88,Grassland,Food and feed,FOD,1.1,Positive,"Milk, dairy products (butter and cheese), wool, hides and meats are staple pastoral products for home-consumption as well as for generating family incomes in mountainous areas of northern Nepal",,
SN 88,Grassland,Physical and psychological experiences,EXP,1.1,Positive,"In addition to pastoral products, cash crops and vegetables, cash crops, and tourism account for 60%, 10% and 70% of household family incomes in Dhunche, Gatlang and Langtang VDCs,
respectively.",,
SN 88,Grassland,Food and feed,FOD,1.1,Positive,,,
SN 89,Farmland,"Regulation of freshwater quantity, location and timing",WQN,2.4,Positive,Farmers tend to cultivate Modern Varieties (MVs) under assured irrigation; hence access to irrigation and number of MVs were positively associated.,,
SN 89,Farmland,Supporting identities,IDE,NA,Positive,"Farmers reported that a few landraces have identifiable socio-cultural and religious use values i.e., landraces used in making special dishes for offering to deities or making traditional dishes specific to certain ethnic groups.",,
SN 89,Farmland,Supporting identities,IDE,NA,Positive,"Sathi rice is used [in Chhat festival] for making offerings to Chathi Maiya, a Hindu goddess, and preparing sweet dishes during the festival.",,
SN 89,Farmland,Food and feed,FOD,1.1,Positive,"Some landraces such as Jetho Budho, Pahele, Basmati, Bayarni, and Ramani are aromatic fine type rice varieties, which command a premium price in local and national markets. Many HHs grow these, especially the first three, in relatively large areas, to sell in the market.",Selling of rice in markets for income,
SN 90,Others,Pollination and dispersal of seeds and other propagules,POL,2.1,Positive,"the Tharu are least interested in beekeeping or honey-hunting. Nevertheless, they appreciate
honey bees, bumble bees, and carpenter bees as pollinators.",,
SN 90,Others,"Medicinal, biochemical and genetic resources",MED,3,Positive,"Bee larvae and meat of the common rat snake (shaman sarpa N; Pietas mucous) were considered as a tonic for weak people. Cobra fat (Phettara sanpuwa T) was used for massage to treat joint ailments, back and other aches, while scorpion pickled in oil rendered the oil effective
against back pain, wounds, and bruises.",,
SN 91,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,"The preference for taste cannot be overstated, which also corresponded with the assessed potability of water without filtration, as spring water was judged to be potable 100% of the time, unlike piped connections. Springs were perceived to be convenient relative to household connections because they flowed reliably, in contrast to state-introduced rationed connections.",,
SN 93,Farmland,Habitat creation and maintenance,HAB,15.5,Positive,Our study has uncovered breeding populations of both species have higher breeding success [in croplands]  than populations in more forested areas.,"This means that contaray to studies that advocate for protected areas, agricultural areas also seem to have positive effects on providing the necessary habitat for strock.",
SN 94,Forest,Regulation of climate,CLI,13.2,Positive,Forests play a significant role in carbon sequestration and storage through their ability to sequester atmospheric carbon and store it in above- and below-ground biomass. It is estimated that the total carbon stock in the studied community forest was 162.95 tons/ha.,,
SN 95,Forest,Regulation of detrimental organisms and biological processes,ORG,3,Negative,During 1993-2013 three peoplewere killed and four injured by tiger attacks in the corridor (i.e. a mean of 0.15 fatalities per year).,,
SN 95,Forest,Regulation of detrimental organisms and biological processes,ORG,2.1,Negative,During 2000-2007 the mean number of livestock killed annually was 19.1.; in the following 6 years the mean annual loss was 6.3 animals,,
SN 96,Forest,Energy,NRG,7.1,Positive,,"The use of firewood has been cited in the text as the most commonlyu used forest product, for cooking and for other energy sources",
SN 97,Grassland,Food and feed,FOD,2.4,Positive,"Shrub coverage in grasslands has not only shrunk the grazing area but it has also
reduced the grasses and forbs available for livestock to graze.",Shows the dependance on grazing from grassland,
SN 99,Agroforest,Food and feed,FOD,2.1,Positive,The impact of agroforestry interventions on the food security level is compared among the six household types. The model showed that planting high-yielding fodder for commercial goat production and market-oriented timber production are agroforestry interventions that could greatly improve food security of rural households,,
SN 99,Agroforest,"Materials, companionship and labor",MAT,2.1,Positive,"It was found that among agroforestry interventions assessed by the EnLiFT model, commercial timber production showed the greatest increase in food security from average FSI of 1 to average FSI of 2.2. This increase is due to rationalisation of current timber market regulations allowing sale of timber products.",This leads to an indirect benefit in securing food for increasing food security,
SN 101,Others,Energy,NRG,5.b,Positive,"biogas is associated with a decrease in time spent collecting wood or dung in both regions.
We also find that these changes are of greater magnitude for women than men",Helps reduce working time for females that can be used in other productive activities,
SN 101,Others,Energy,NRG,4.1,Positive,"According to our IV results, biogas causes households to increase the time spent on education by 4–11 percentage points (25–40% from the means of 20% among females and 27% among men). These household aggregates include all members 10 and older, but we interpret them as pertaining mainly to adult household members, given that a test of the IV results for the group aged only between 10 and 18 years old did not show corresponding significant increases in study time",,
SN 101,Others,"Formation, protection and decontamination of soils and sediments",SOI,2.4,Positive,"This is plausible, both because biogas depends on keeping livestock (some of which are also used to plough fields) and because biogas produces a slurry byproduct that can be used as fertilizer.","The biproduct of biogas can be used as a fertilizer in the field, and households which use biogas is shown to have higher time spent in agricuture",
SN 104,Freshwater,Supporting identities,IDE,NA,Positive,"Ghodaghodi Lake was named after the temple ‘Ghodaghodi’, situated at the southern bank of the lake complex. The site holds religious and cultural value, and people from nearby villages and towns travel to worship at the temple all year round",,
SN 104,Freshwater,Physical and psychological experiences,EXP,8.9,Positive,"All of the visitors who participated in our survey agreed on the imposition of an entry fee at the GLC, and were willing to pay if biodiversity was conserved and recreational potential increased",,
SN 104,Freshwater,Physical and psychological experiences,EXP,15.5,Positive,"All of the visitors who participated in our survey agreed on the imposition of an entry fee at the GLC, and were willing to pay if biodiversity was conserved and recreational potential increased",Tourism activities helped conserve biodiversity,
SN 105,Forest,Energy,NRG,7.1,Positive,"Timber was allowed to the household for construction of a new building while firewood was
harvested annually during thinning of forest in winter season",,
SN 105,Forest,Food and feed,FOD,2.4,Positive,It shows that most of the household depend on wood for fuel and fodder for domestic animals,,
SN 105,Forest,Energy,NRG,1.1,Positive,Net monetary gain [from provisioning services] per HH was US $. 25.41,,
SN 105,Forest,"Materials, companionship and labor",MAT,1.1,Positive,Net monetary gain [from provisioning services] per HH was US $. 25.41,,
SN 105,Forest,Food and feed,FOD,1.1,Positive,Net monetary gain [from provisioning services] per HH was US $. 25.41,,
SN 106,Farmland,Food and feed,FOD,1.1,Positive,"Throughout the valley the dominant occupation was agriculture, with 96 % of households maintaining crops and sometimes livestock, often as an addition to paid employment.",Focus on agricultural production for income generation,
SN 106,Forest,Food and feed,FOD,2.1,Positive,"The forest was highly valued in every area for the collection of edible vegetables, fodder for livestock and for cultural reasons (such as religion, recreation or place attachment)",,
SN 106,Forest,Food and feed,FOD,2.4,Positive,,,
SN 106,Forest,Supporting identities,IDE,NA,Positive,,,
SN 106,Forest,Energy,NRG,7.1,Positive,"The forest was visited to collect firewood, fruit, vegetables, medicinal herbs, meat and ‘Nigalo’ (bamboos used to make household implements such as baskets, furniture and household structures such as fences). Respondents in villages at the northern end of the valley also discussed weaving a rough fabric from Pua (Girardinia diversifolia) for their own wear",,
SN 106,Forest,"Medicinal, biochemical and genetic resources",MED,3,Positive,,,
SN 106,Forest,Supporting identities,IDE,NA,Positive,,,
SN 106,Forest,Food and feed,FOD,1.1,Positive,"Many minor or seasonal activities involved the use of natural products: for example, bamboo weaving occurred during the dry season and collecting wild plants for vegetables and medicine. Such jobs were not highly regarded, but brought useful extra income during periods of hardship.","Various pieces of evidence collected during fieldwork suggested there was a strong market for wild foods, that led some people to supplement their incomes by collecting and trading them",
SN 106,Forest,"Medicinal, biochemical and genetic resources",MED,1.1,Positive,"Many minor or seasonal activities involved the use of natural products: for example, bamboo weaving occurred during the dry season and collecting wild plants for vegetables and medicine. Such jobs were not highly regarded, but brought useful extra income during periods of hardship.","Various pieces of evidence collected during fieldwork suggested there was a strong market for wild foods, that led some people to supplement their incomes by collecting and trading them",
SN 106,Forest,Food and feed,FOD,1.1,Positive,"By triangulating all reports it became clear that Gurungs and Magars in the northern end of the valley were particularly likely to go hunting, with some of the meat being dried and traded within the valley, or carried out to urban centres.",Hunters sold meat to rich households in the valley,
SN 107,Others,Regulation of detrimental organisms and biological processes,ORG,3,Negative,"In villages located outside of the main tourist areas, negative attitudes toward park management are often associated with the park’s inability or indifference to limit human-wildlife conflicts.",Human Wildlife conflict,
SN 107,Others,Regulation of detrimental organisms and biological processes,ORG,2.1,Negative,,,
SN 108,Others,Regulation of detrimental organisms and biological processes,ORG,1.1,Negative,Wildlife depredation in DV has remained a serious challenge to local livelihood as well as wildlife conservation.,Human Wildlife conflict,
SN 109,Forest,Food and feed,FOD,2.1,Positive,"Chepangs in both areas were found to rely heavily on forest foods, mainly in the deficit periods. The use of forest products was found to be higher in the area with a homogenous Chepang
population (Ward no. 3) than in the heterogeneous population area (Ward no. 4).",,
SN 109,Forest,"Medicinal, biochemical and genetic resources",MED,3,Positive,"The forest is used as an important source of food, fibre, medicine, housing materials, firewood and fodder. Products are collected for personal consumption, barter and sale.",Also states that areas where chepang communities were more had more uses of forest products,
SN 109,Forest,"Materials, companionship and labor",MAT,9.1,Positive,,,
SN 109,Forest,Energy,NRG,7.1,Positive,,,
SN 109,Forest,Food and feed,FOD,2.1,Positive,,,
SN 109,Forest,Food and feed,FOD,2.1,Positive,"Hunting of mammals, birds, and insects was only for subsistence",,
SN 109,Forest,Supporting identities,IDE,15.5,Positive,"The Chepang were found to be animists, believing that holy spirits live in plants, animals, rivers and mountains, and with whom they need to maintain good relations through sacrifices and other forms of respect. Disrespect for the holy spirits was believed to be the cause of disease and natural disasters. Hunting of mammals, birds, and insects was only for subsistence and traditional rules forbade the killing of females of the species, thereby (in their belief) reducing the impact on wild populations.",,
SN 111,Forest,"Materials, companionship and labor",MAT,1.1,Positive,"Although local people harvested eight and seven types of resources in BNP and SWR, respectively; the economic value of only three important resources – firewood, thatch and timber – was calculated because they are traded in the local market and thus productive use values can be estimated.",,
SN 111,Forest,Energy,NRG,1.1,Positive,,Income generation through selling these resources,
SN 111,Farmland,Food and feed,FOD,2.1,Positive,"Most respondents (> 90%) have parcels of land and some livestock for subsistence agriculture,
and this is complemented by market-based off-farm income in 23% of households.",,
SN 111,Farmland,Food and feed,FOD,1.1,Positive,"Most respondents (> 90%) have parcels of land and some livestock for subsistence agriculture,
and this is complemented by market-based off-farm income in 23% of households.",Selling of agri products for income,
SN 111,Others,Regulation of detrimental organisms and biological processes,ORG,3,Negative,"There are benefits and costs of living in the periphery of the parks. Costs include:
loss of crops and livestock to wildlife, injury and death, loss of access rights, and time and resources spent to guard wildlife",Human Wildlife Conflict,
SN 111,Others,Regulation of detrimental organisms and biological processes,ORG,2.1,Negative,wildlife eats residents’ crops and residents’ access to resources is restricted because of the park.,Human Wildlife Conflict,
SN 113,Others,Supporting identities,IDE,15.5,Positive,"Because the gods and deities dwell in nature, efforts to keep them happy are closely tied to ecological conservation practices that have helped to conserve resources and protect flora and fauna in the Rolwaling Valley.",,
SN 114,Farmland,Food and feed,FOD,1.1,Positive,The preference for more check dams to control flooding and sedimentation and protecting the land during the rainy season reflects the fact that agriculture is the main source of income in the hydropower project area.,,
SN 117,Forest,Regulation of detrimental organisms and biological processes,ORG,2.1,Negative,"About half of the respondents (44.6%) reported the increase in damage from wildlife during the previous five years primarily due to widespread crop raiding by hervivores, while 43.9% think damage either decreased or has not changed (11.5%). The",Human Wildlife Conflict,
SN 117,Forest,Regulation of detrimental organisms and biological processes,ORG,3,Negative,"Five carnivores – tiger, jackal, sloth bear, leopard, and jungle cat – were reported to be affecting local residents by threatening safety or predating on livestock/poultry.",Human Wildlife Conflict,
SN 118,Forest,Habitat creation and maintenance,HAB,15.5,Positive,One plausible reason for the preference of oak forest could be the potential availability of oak trees with large trunks for building dens during breeding season,,
SN 120,Farmland,Food and feed,FOD,1,Positive,Agricultural produce and livestock are the major sources of income for the majority of households,,
SN 120,Farmland,"Materials, companionship and labor",MAT,1,Positive,"Large cardamom cultivation has been supporting rural livelihood, as it has the highest annual production value (Table 2). Most households cultivate cardamom in large areas (0.7 ha and more, Table 4).",,
SN 120,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,2.1,Positive,Freshwater ecosystem was considered important as agro-forestry on which people are highly dependent needs irrigation,,
SN 120,Agroforest,Energy,NRG,7.1,Positive,"More than 90% of the total HHs obtain fuelwood, fodder, food (cereals, vegetables, fruits) and soil/red mud in addition to cardamom. The soil or mud is mixed with water and cow dung and smeared on the walls and floors of the house. More than 80 % of the HHs obtain leaf litter and boulders for construction from the agro-ecosystem",,
SN 120,Agroforest,Food and feed,FOD,2.1,Positive,,,
SN 120,Forest,Energy,NRG,7.1,Positive,"The community depends on ecosystems for several provisioning services (Figure 12) but more than half of the total households depend mainly on fuelwood, fodder, leaf litter and timber/poles from forest ecosystem. Most of the households fetch wild edible fruits 74% (186 HHs) and mushrooms 60% (149 HHs) from the forest",,
SN 120,Forest,Food and feed,FOD,2.1,Positive,,,
SN 120,Forest,"Materials, companionship and labor",MAT,9.1,Positive,,,
SN 120,Freshwater,Food and feed,FOD,2.1,Positive,"About 36% of HHs consume fish (Figure 12), paha (mountain frogs) and crabs found in the freshwater
ecosystem (rivers and streams).",,
SN 120,Forest,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,"Forests play an important role in controlling erosion
(94.8% of HHs) and floods (83.2% of HHs), as well as protect soil and maintain the health of the environment.",,
SN 120,Forest,Regulation of climate,CLI,13.2,Positive,"Forests also contribute significantly to carbon sequestration (75.6% of HHs) and purifying water resources. More than half of the respondents believe that forest ecosystem is vital for regulating services like seed dispersal (63.2% of HHs), pollination (60.4%) and water retention (55.2%).",,
SN 120,Forest,Regulation of freshwater and coastal water quality,WQL,6.1,Positive,,,
SN 120,Forest,Pollination and dispersal of seeds and other propagules,POL,2.1,Positive,,,
SN 120,Forest,Pollination and dispersal of seeds and other propagules,POL,15.1,Positive,,,
SN 120,Forest,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,,,
SN 120,Agroforest,Regulation of climate,CLI,13,Positive,"Agro-ecosystem, on the other hand, is considered imperative for climate regulation (21.6% of HHs), pollination (18 % of HHs) and dispersal of seeds (17.2 % of HHs).",,
SN 120,Agroforest,Pollination and dispersal of seeds and other propagules,POL,2.1,Positive,,,
SN 120,Forest,Habitat creation and maintenance,HAB,15.5,Positive,"With regard to supporting services, most of the respondents rank forest ecosystem as most important for the habitat of species (97%)",,
SN 120,Forest,Supporting identities,IDE,15.1,Positive,"Cultural services come in the form of aesthetic beauty
and nature worship, which involves the worship of various deities such as Sano Pathivara, Ban Devi, Sinha Devi in
the forests. This helps ensure the protection of religious forests around these sacred places.",Cultural services help ensure the protection of components providing the services,
SN 120,Forest,"Materials, companionship and labor",MAT,1.1,Positive,Nepal Black Cedar primarily provides fuelwood and timber to the community. People also sell timber to plywood and furniture companies and earn some money.,,
SN 121,Farmland,Food and feed,FOD,1.1,Positive,"Agriculture is the dominant source of income with over 99% households of study sites engaged in agriculture; with 61.73% of households identifying it as the primary source of livelihood, despite agricultural land being limited to 1.6% (WWF, 2016) of KCA’s land area. Livestock rearing engages 92.17% KCA households in total, with 5.66% relying on it as a primary source. Livestock is an important source of income, as well as milk and milk products, meat, transportation, wool, and manure.  Fruit-farming was identified as a potentially important source of income for KCA households.",,
SN 121,Agroforest,"Materials, companionship and labor",MAT,2.4,Negative,"Currently, according to locals a lower number of households are engaged in herding as well as livestock rearing, due to takeover of pasture lands for community forestry or cardamom farming. This has manifold implications on KCA livelihood: as it decreases livestock manure; a major source of crop nutrient in the KCA, which could lower crop productivity resulting in decreased food security and income",shifting from herding to cardamom farming leading to less manure application ,
SN 121,Farmland,"Medicinal, biochemical and genetic resources",MED,1.1,Positive,"Traditionally, sustenance bee-keeping has been practiced in KCA, to produce honey for consumption as well as domestic medicinal purposes. Meanwhile honey is also sold to enhance household earnings, to a smaller extent.",,
SN 121,Grassland,Food and feed,FOD,2.1,Positive,"The survey also showed that this livestock (yak, sheep, goats, donkey) were mainly fed through open grazing in pasture lands, making healthy pastures an important part of enhancing KCA livelihoods. Healthy pasture lands also benefit wild mountain ungulates and other prey species that help sustain snow leopard populations in these landscapes.",,
SN 121,Grassland,Habitat creation and maintenance,HAB,15.5,Positive,,,
SN 121,Others,Physical and psychological experiences,EXP,8.9,Positive,"Lying at the foot of Mt. Kangchenjunga (8586 m), the third highest mountain in the world, and renowned as a global hot spot for flora and fauna, as well as the home of the snow leopard, KCA is an important tourist attraction, especially for nature lovers and climbing expeditions.",,
SN 121,Others,Regulation of detrimental organisms and biological processes,ORG,2.1,Negative,"In mountain landscapes, predators including the snow leopard, occasionally prey on livestock, bringing them in conflict with the local communities. For local communities, these losses can affect their livelihoods; in extreme cases, resulting in retaliatory killings
Extensive crop damages have been reported in Lelep, Yamphudin and Tapethok by macaques. Locals also informed that they had not received any relief.",HWC,
SN 121,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,7.2,Positive,"The glacierized, ice and snow-capped areas of KCA are an important source of water for hydropower generation. According to FGDs 6 micro and 1 pico hydro were established at KCA with support from DNPWC, VDCs, WWF Nepal, community contributions and Namsaling Community Development Center-Ilam. These completed energy projects are producing 150 kilowatt of electricity and
benefitting 569 KCA (53.68%) households",Hydropower,
SN 122,Farmland,Food and feed,FOD,2.1,Positive,"According to the district profi les of the studied districts, 50-80% of the population in CHAL depends on agriculture for their living, mostly traditional farming and livestock rearing. The main cereal crops grown are paddy, maize, wheat, millet, barley, and buckwheat. Improved varieties of crops are grown throughout the region.",,
SN 122,Forest,Energy,NRG,7.1,Positive,"The sources of energy for cooking in CHAL are fuelwood, LPG, Biogas, kerosene, electricity, and animal dung cake. Fuelwood is the most common source of energy used by 72.4 % of the households.",Emphasis on fuelwood,
SN 122,Forest,Energy,NRG,7.2,Positive,"The sources of energy for cooking in CHAL are fuelwood, LPG, Biogas, kerosene, electricity, and animal dung cake. Fuelwood is the most common source of energy used by 72.4 % of the households.",,
SN 122,Forest,"Formation, protection and decontamination of soils and sediments",SOI,15.3,Positive,The soil organic carbon is higher in the broadleaf forests compared to the needle-leaf forests. This might be due to the higher leaf litter decomposition rates and rapid nutrient cycle in the broadleaf forests and generally the warmer climate as compared to the needle-leaf forests in the temperate region.,Shows how certain species of trees can help in soil formation,
SN 122,Forest,Regulation of climate,CLI,13.2,Positive,"The analysis shows that the annual carbon dioxide sequestration of CHAL was found highest in dense broadleaf forests (3.07 million ton CO2e yr-1) and followed by sparse broadleaf forests (3.01 million ton CO2e yr-1), dense
needle-leaf forests (1.87 million ton CO2e yr-1) and sparse needle-leaf forests (1.71 million ton CO2e yr-1) respectively.","Similary, how certain species of trees can sequester carbon differntly",
SN 123,Farmland,Food and feed,FOD,1.1,Positive,"Farming is the primary source of income to 65% and the secondary source of income to 60% of surveyed households. Major cash crops are maize paddy, millet, soybean, mustard, wheat, pulses and potato",,
SN 123,Farmland,Food and feed,FOD,2.1,Positive,"The community is primarily reliant on agroecosystem resources for food, such as rice, corn, cereals, pulses, soya bean, vegetables, fruits and meat, milk and milk products from livestock and poultry. They also obtain mushrooms, wild vegetables (stinging nettle, ferns, etc.) to meet their nutrient supply. Agricultural byproducts are utilized as fodder for the livestock.",,
SN 123,Agroforest,"Materials, companionship and labor",MAT,9.1,Positive,"the agroforest ecosystem supplies thatch, timber/poles and similar
resources for construction of houses, sheds, and furnishings. Bamboo is the most utilized agroforest product, and is used for construction, furnishings, and making handicraft tools.",,
SN 123,Farmland,"Medicinal, biochemical and genetic resources",MED,3,Positive,"Medicinal plants such as Ghortapre (Centella sp.)
are found in the surroundings of households, home gardens, and irrigated lowlands (Khet).",,
SN 123,Forest,Energy,NRG,7.1,Positive,"The forest primarily provides fuel wood, daily fodder needs, and timber",,
SN 123,Forest,Food and feed,FOD,2.4,Positive,,,
SN 123,Forest,"Materials, companionship and labor",MAT,9.1,Positive,,,
SN 123,Forest,Food and feed,FOD,2.1,Positive,"Additionally, it supplies medicinal plants, dye, bush meat, edible wild vegetables and fruits, and mushrooms.",,
SN 123,Forest,"Medicinal, biochemical and genetic resources",MED,3,Positive,,,
SN 123,Freshwater,Food and feed,FOD,2.1,Positive,"It provides a habitat for the aquatic fauna such as invertebrates
(crab, shrimp, mollusks), fishes, and herpetofauna (Paha and Manpaha), which are a protein-rich food supply.",,
